targetid,survey,program,spectype,zwarn,zcat_primary,source_id,gaia_ra,gaia_dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,feh,alphafe,log10micro,teff,logg,clase_aprox,parallax_snr
39628438805414381,main,bright,STAR,0,t,1451566149955227520,207.43457407157464,27.92301808480064,33.35000037311801,0.043917,-254.9648288141254,68.86124693153076,16.275015,16.4504,15.969977,-10.0,,,30000.0,7.0003,O,759.3870340214042
39627793784377899,sv1,dark,STAR,0,t,3891115064506627840,179.96715968658452,0.1309029379353304,35.32557581321628,0.055985,67.1293572085024,-38.26644141805099,15.713313,15.785233,15.573991,-10.0,,,30000.0,9.4999,O,630.9828670754002
2305843027907708054,main,backup,STAR,0,t,2509333410032899456,27.198788142106835,0.240574449958341,32.59003985089781,0.062608,239.3234616094632,-193.3510317451076,16.119429,18.663956,14.70943,-10.0,,,39660.0,8.9817,O,520.5411425200903
39627900017709075,main,bright,STAR,0,t,2516606022320239104,35.491103382768834,4.755335938496941,25.35043067477835,0.054179,-20.1701924943434,80.98743831133046,16.392767,16.565613,16.087944,-10.0,,,30000.0,7.0002,O,467.90141336640306
39633300964248167,sv3,dark,STAR,0,t,1608061254844374784,215.026864759651,53.375710036383175,15.771564151435816,0.04839,80.26977675875834,-103.93368823290716,16.818956,16.981657,16.544186,-10.0,,,30000.0,7.0004,O,325.9261035634597
39633371000735092,main,bright,STAR,0,t,990418187148387328,111.06673514429455,58.86021884277179,21.414690468876454,0.069235,-46.55936187077701,-58.93462240874829,16.836464,17.016045,16.51831,-10.0,,,30000.0,7.0003,O,309.3044048368087
39628174711064898,main,dark,STAR,0,t,611401999180118528,134.07879938589113,16.184237003342638,13.865031462070128,0.045288,-32.25507814041026,-30.721232678973784,15.603564,15.526752,15.734172,-10.0,,,34942.0,8.2002,O,306.15243468623316
39627770107532640,main,dark,STAR,0,t,3658879826259633664,208.70831560742752,-0.8634730916423983,20.094419071926477,0.080094,-182.24863886235613,43.70417014781567,17.089272,17.26034,16.809711,-10.0,,,30000.0,7.0004,O,250.88544799768368
39627664742422818,main,dark,STAR,0,t,5184503302729610368,43.06504002938577,-5.041999990619944,9.562370267944315,0.044615,74.94570240732422,73.18528280486412,15.983099,15.916306,16.11345,-10.0,,,32693.0,7.8747,O,214.33083644389365
39633030255476774,main,bright,STAR,0,t,1295170344710806400,223.9819234499999,37.42263946779933,13.078896261118638,0.069454,-124.39905657549278,-26.523134576829708,17.500513,17.640509,17.261946,-10.0,,,30000.0,7.0004,O,188.3101946773208
39627717645175786,main,bright,STAR,0,t,2684806459279262976,321.61738394162126,-2.926722357077487,14.94559347981209,0.079858,205.1859852202228,19.69219950836885,17.201826,17.370115,16.915113,-10.0,,,30000.0,7.0004,O,187.15211349911203
39633548277189700,main,bright,STAR,0,t,1129892512736965888,173.27039284648373,79.10600992294553,13.33481228429781,0.074588,-108.4566607494756,35.85177956694799,17.715076,17.916277,17.417528,-10.0,,,30000.0,7.0501,O,178.77959302163632
39633104087811784,main,bright,STAR,0,t,805144228693747328,153.2068367984044,41.38642200699957,8.356044408107564,0.047819,14.29207085878742,2.1340614965348426,16.319817,16.24998,16.43236,-10.0,,,39998.0,8.3503,O,174.74318593252818
39628368886367696,main,bright,STAR,0,t,1303034120592956160,242.4665300067302,24.689347696090703,17.110046536041114,0.103695,5.313574576613448,-113.22218523158898,18.19885,18.408138,17.904493,-10.0,,,30000.0,7.0022,O,165.00358296968142
39627742295102328,main,dark,STAR,0,t,2637697200687755648,350.96968516025544,-1.9182481886439675,7.657596316571259,0.050958,18.7292360796298,-26.490982457005813,15.398582,15.266135,15.66547,-10.0,,,30000.0,8.1404,O,150.27270137311626
39627890962207056,main,dark,STAR,0,t,3669400430255790336,214.5194362843711,4.139064151565657,16.062800657722228,0.119221,-17.67146696319184,-70.48621666329232,17.648872,17.761805,17.427063,-10.0,,,30000.0,7.0027,O,134.73130285538812
39633255535740493,main,bright,STAR,0,t,847884509109410816,153.5652596120652,50.46177998479708,12.576952057436229,0.097826,-25.25292609842359,-9.629514394699504,17.665012,17.827202,17.37925,-10.0,,,30000.0,7.0004,O,128.5645130889153
39627642583910421,main,dark,STAR,0,t,3776038764499301120,157.258765164617,-5.908053433798739,7.325563737753247,0.064214,52.77676184570287,-75.0633227986307,16.502485,16.447659,16.645353,-10.0,,,32547.0,8.0701,O,114.08047680806752
39633245234533986,main,bright,STAR,0,t,2120830249193155200,279.42473629012136,49.76003367823359,12.524758624072044,0.11212,-5.805301353211217,26.467411404492573,17.835255,20.468477,16.380676,-10.0,,,39648.0,8.9851,O,111.70851430674317
39628483000798901,special,bright,STAR,0,t,1894563160062140416,336.2615810952513,30.08753351711197,13.121573111592795,0.119517,40.38586607091709,54.44685345033626,18.058735,18.206934,17.843824,-10.0,,,30000.0,7.0006,O,109.7883406677945
39633058202124334,main,bright,STAR,0,t,4034308896197250560,179.67981003480048,38.95349804146037,6.217207253459445,0.056996,-134.95741728814153,-10.132503129988825,16.4343,17.962559,15.220243,-10.0,,,39983.0,7.1611,O,109.08146630394141
39628205379816673,main,bright,STAR,0,t,1199686173677816576,242.16436821955077,17.39381170429139,13.863927074892656,0.130421,-91.8481612506656,65.6366623499457,18.012487,18.164911,17.81055,-10.0,,,30000.0,7.0014,O,106.30134008244573
39633228641864541,main,bright,STAR,0,t,1510467090935595008,208.2917443902799,48.67240168266676,5.698212840845434,0.053885,30.92305476877475,-32.83439688437583,16.678228,16.585772,16.876987,-10.0,,,30133.0,8.1581,O,105.74766337283909
39633236376160952,main,bright,STAR,0,t,1544285079309656064,188.72209719072487,49.19118074626441,11.259784335004731,0.10827,-34.587367354144256,30.809666953095736,17.814838,17.970966,17.503311,-10.0,,,30000.0,7.0004,O,103.99726918818445
39627957592921665,main,dark,STAR,0,t,4450425359563998848,242.39939048901635,6.920161711533638,11.613197010315517,0.115967,-18.247823446136003,48.32789002510157,17.892939,18.028288,17.607786,-10.0,,,30000.0,7.0001,O,100.14225607556905
