targetid,survey,program,spectype,zwarn,zcat_primary,source_id,gaia_ra,gaia_dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,param,feh,alphafe,log10micro,teff,logg,tipo_fgk,parallax_snr
39633005811076101,main,bright,STAR,0,t,1471490125284651264,206.5420347144353,36.328596569671895,4.862217775535479,0.013061,1.0464752017809582,4.4547990315750265,13.60895,14.237668,12.85142,[-3.6175e-01  6.3413e-02         nan  4.5266e+03  4.6793e+00],-0.36175,0.063413,,4526.6,4.6793,K,372.26994682914625
39633351685966446,main,bright,STAR,0,t,989439316857826560,111.71759856618776,57.35994163820328,3.049484773239842,0.012385,-13.873693906654765,-29.818564350343216,13.034741,13.432582,12.470901,[-1.3062e-01  1.1236e-02  1.5268e-02  5.7277e+03  4.9203e+00],-0.13062,0.011236,0.015268,5727.7,4.9203,G,246.22404305529608
39633442811414684,main,bright,STAR,0,t,1044641432001571456,133.28649431990107,65.09763816343865,2.133730788417044,0.011486,12.001524434336485,5.063783375927104,13.234369,13.670995,12.638359,[-2.0640e-02  1.1661e-01         nan  4.9993e+03  4.1256e+00],-0.02064,0.11661,,4999.3,4.1256,K,185.7679599875539
39633006545077134,main,bright,STAR,0,t,1336905538358330496,260.46288787140713,36.21033579045299,2.093516135137575,0.012156,12.613347238349588,-11.405098400894808,13.781205,14.150284,13.244282,[-3.2503e-01  2.4008e-02 -5.0055e-02  5.7525e+03  4.9811e+00],-0.32503,0.024008,-0.050055,5752.5,4.9811,G,172.22080743152148
39632981534444555,main,bright,STAR,0,t,1278960107343445120,230.2195685317036,34.88915253322894,1.9835103846045192,0.011845,-12.766847253397838,-8.499347826387554,13.544394,13.884381,13.039225,[-2.2385e-01 -2.7446e-02  8.1584e-03  5.8265e+03  4.6950e+00],-0.22385,-0.027446,0.0081584,5826.5,4.695,G,167.4554989113144
39633455402715873,main,bright,STAR,0,t,1068797908621576960,137.2804779772591,66.17709432717855,3.0822228226705963,0.019494,-29.134750113367712,-21.760269149961264,14.741682,15.448648,13.929563,[-1.4260e-01  1.0653e-01         nan  4.3774e+03  4.5334e+00],-0.1426,0.10653,,4377.4,4.5334,K,158.11135850367273
39633240490772865,main,bright,STAR,0,t,1558606974174552576,204.05013510447765,49.59889341347827,2.111550697067369,0.013446,21.388826131600705,7.995121389619266,13.568689,13.911514,13.05447,[-3.7909e-01  1.0483e-01  4.2446e-02  5.7712e+03  4.8559e+00],-0.37909,0.10483,0.042446,5771.2,4.8559,G,157.03932002583437
39632957115205421,main,bright,STAR,0,t,4604492124303539072,269.78594766527294,33.77945370481597,1.4504589567068968,0.010218,23.892058855456145,13.689047407381535,13.077795,13.392956,12.596588,[-5.3455e-01  1.7679e-01  1.9359e-01  5.9029e+03  4.3337e+00],-0.53455,0.17679,0.19359,5902.9,4.3337,G,141.9513561075452
39633441112722911,main,bright,STAR,0,t,1632129839254673664,256.27738978264614,64.78383481047626,1.7736309882989645,0.013495,-1.4468027811305757,-10.331346176974554,13.966125,14.317533,13.450274,[-2.4754e-01  2.2083e-02  5.4534e-02  5.8123e+03  4.9076e+00],-0.24754,0.022083,0.054534,5812.3,4.9076,G,131.428750522339
39633451514596605,main,bright,STAR,0,t,2254671604917508736,290.9259347031409,65.75460312871176,1.5587994285962243,0.011943,-8.138921746328956,-16.657127191829165,13.894253,14.226529,13.397103,[-2.7361e-01  5.8515e-02  9.6469e-02  5.8750e+03  4.5941e+00],-0.27361,0.058515,0.096469,5875.0,4.5941,G,130.51992201257843
39633487598193030,main,bright,STAR,0,t,1683621308812394752,181.20301159445145,69.79867100381367,1.5544673888936238,0.012743,11.773884462474252,-3.248711736682239,13.408127,13.730105,12.92572,[-9.9565e-02  3.6504e-02  3.7949e-02  5.8758e+03  4.4798e+00],-0.099565,0.036504,0.037949,5875.8,4.4798,G,121.98598359049076
39627952995959664,main,bright,STAR,0,t,2700446020047476864,326.35709748618933,6.820538091521572,2.620623862330964,0.022084,-17.857440307015743,-19.956587395831285,14.510007,15.082232,13.794654,[-3.9248e-01  1.3941e-01  1.1739e-01  4.8196e+03  4.8309e+00],-0.39248,0.13941,0.11739,4819.6,4.8309,K,118.66617742849866
39633457587946637,main,bright,STAR,0,t,1104171327991467008,99.1926616351451,66.52500598217624,1.9510861726369448,0.016879,4.846121862055344,10.442114507563774,13.869594,14.351501,13.227371,[-4.6603e-01  1.2579e-01         nan  4.9984e+03  4.7597e+00],-0.46603,0.12579,,4998.4,4.7597,K,115.59252163261714
